"Date","Price","Open","High","Low","Vol.","Change %"
"10/09/2020","10,655.1","10,655.1","10,655.1","10,655.1","2.11K","6.54%"
"10/08/2020","10,000.9","10,000.9","10,000.9","10,000.9","0.57K","7.00%"
"10/07/2020","9,346.6","9,103.6","9,346.6","9,103.6","0.53K","2.78%"
"10/06/2020","9,094.2","8,879.3","9,094.2","8,514.7","0.33K","6.92%"
"10/05/2020","8,505.4","9,084.9","9,084.9","8,496.0","0.20K","0.11%"
"10/02/2020","8,496.0","8,496.0","8,496.0","8,496.0","0.01K","6.94%"
"10/01/2020","7,944.6","7,944.6","7,944.6","7,944.6","0.36K","-0.12%"
"09/30/2020","7,953.9","7,953.9","7,953.9","7,953.9","0.01K","-6.07%"
"09/29/2020","8,468.0","9,084.9","9,084.9","8,468.0","0.02K","-6.79%"
"09/25/2020","9,084.9","9,084.9","9,084.9","9,084.9","0.01K","-6.99%"
"09/24/2020","9,767.2","9,767.2","9,767.2","9,767.2","0.12K","-6.70%"
"09/23/2020","10,468.2","10,468.2","10,468.2","10,468.2","0.01K","-6.67%"
"09/10/2020","11,215.9","11,215.9","11,215.9","11,215.9","0.40K","6.20%"
"09/08/2020","10,561.6","10,561.6","10,561.6","10,561.6","0.10K","0.00%"
"09/07/2020","10,561.6","10,561.6","10,561.6","10,561.6","0.01K","5.61%"
"08/31/2020","10,000.9","10,000.9","10,000.9","10,000.9","275.10K","4.90%"
"08/28/2020","9,533.5","9,533.5","9,533.5","9,533.5","0.01K","-3.77%"
"08/27/2020","9,907.4","9,907.4","9,907.4","9,907.4","0.05K","-0.93%"
"08/26/2020","10,000.9","9,112.9","10,000.9","8,954.0","576.19K","3.88%"
"08/25/2020","9,627.0","9,627.0","9,627.0","9,580.3","0.21K","5.64%"
"08/24/2020","9,112.9","9,112.9","9,112.9","8,430.6","0.52K","6.56%"
"08/21/2020","8,552.1","8,552.1","8,552.1","8,552.1","0.01K","6.89%"
"08/20/2020","8,000.7","7,496.0","8,000.7","7,486.6","1.17K","7.00%"
"08/17/2020","7,477.3","8,552.1","8,552.1","7,477.3","0.51K","-6.54%"
"08/14/2020","8,000.7","8,000.7","8,000.7","8,000.7","0.01K","7.00%"
"08/13/2020","7,477.3","8,561.5","8,561.5","7,477.3","0.04K","-6.65%"
"08/11/2020","8,010.0","8,010.0","8,010.0","8,010.0","3.50K","6.99%"
"08/10/2020","7,486.6","7,486.6","7,486.6","7,486.6","0.01K","-4.30%"
"08/06/2020","7,823.1","7,823.1","7,823.1","7,823.1","0.16K","4.36%"
"08/05/2020","7,496.0","7,496.0","7,496.0","7,496.0","0.01K","-6.96%"
"08/04/2020","8,056.8","8,056.8","8,056.8","7,729.6","0.03K","4.23%"
"07/31/2020","7,729.6","7,720.3","7,729.6","7,720.3","0.02K","-6.87%"
"07/30/2020","8,299.8","8,299.8","8,299.8","8,299.8","0.02K","4.10%"
"07/28/2020","7,972.6","7,972.6","7,972.6","7,972.6","0.01K","-6.98%"
"07/21/2020","8,570.8","8,570.8","8,570.8","8,570.8","0.01K","0.00%"
"07/20/2020","8,570.8","8,570.8","8,570.8","8,570.8","0.13K","-7.00%"
